Product_ID,Product_Name,Sub_Category,Brand,Supplier_ID,Supplier_Name,Lead_Time_Days,Quantity_in_Stock,Reorder_Level,Reorder_Quantity,Unit_Cost,Unit_Price,Discount_Available,Discount_Percentage,GST_Percentage,Final_Price,Manufacture_Date,Expiry_Date,Days_to_Expiry,Is_Expired,Units_Sold_Last_Month,Units_Returned,Last_Sold_Date,Shelf_Life_Days,Age_of_Stock_Days,Profit_Per_Unit,Total_Value_in_Stock,Expiry_Risk_Level,Stock_Turnover_Ratio,Revenue_Last_Month,Stock_Age_Category,Profit_Margin,Needs_Discount,Reorder_Required,Expiry_Risk_Encoded,Stock_Age_Encoded,Cat_Body Care,Cat_Fragrance,Cat_Haircare,Cat_Makeup,Cat_Skincare,Status_In Stock,Status_Low Stock,Status_Out of Stock,Unit_Cost_Scaled,Unit_Price_Scaled,Quantity_in_Stock_Scaled,Days_to_Expiry_Scaled,Units_Sold_Last_Month_Scaled,Age_of_Stock_Days_Scaled,Profit_Margin_Scaled,Stock_Turnover_Ratio_Scaled
PRD1010,Maybelline Body Lotion,Body Lotion,Maybelline,SUP4492,India Beauty Hub,8.0,259.0,53,133,1869.86,4407.33,True,17.93,12,4051.15,2025-03-07,2027-03-07,-27.0,True,69.0,4,2025-07-30,730,224.0,2537.47,1141498.47,Critical,0.2653846153846154,304105.77,Old,57.57385991064886,True,False,0,2,True,False,False,False,False,True,False,False,1.5239526860654495,2.1601079185012186,0.09919681537771605,-1.8721676861790713,0.6610858726047134,0.10908148123271512,0.537435041160399,-0.13605184836183645
PRD1011,Olay Eyeshadow,Eyeshadow,Olay,SUP5325,Metro Beauty Supplies,6.0,258.0,82,164,1815.41,4203.26,True,27.2,18,3610.77,2025-09-25,2027-09-25,-1.0,True,42.0,2,2025-07-27,730,22.0,2387.85,1084441.08,Critical,0.16216216216216217,176536.92,New,56.809476453990484,True,False,0,1,False,False,False,True,False,True,False,False,1.4265944224286804,1.9818775302232547,0.09222792341138521,-1.7958198053007275,-0.27522372078301977,-1.0958258934014231,0.5054198400237606,-0.1691928838466791
PRD1012,Garnier Toner,Toner,Garnier,SUP1653,Elite Cosmetics Distributor,12.0,460.0,65,153,1380.03,2898.5,False,0.0,28,3710.08,2025-03-23,2027-03-23,-20.0,True,95.0,2,2025-09-16,730,208.0,1518.47,1333310.0,Critical,0.20607375271149675,275357.5,Old,52.38813179230637,True,False,0,2,False,False,False,False,True,True,False,False,0.6481216800562901,0.8423279569907532,1.4999441006102145,-1.8516124874810556,1.5627173329040118,0.013643273340902191,0.32023760275108565,-0.15509444368022487
PRD1013,Colorbar Eye Cream,Eye Cream,Colorbar,SUP8711,Beauty Supplies India,7.0,113.0,45,217,731.83,1671.97,True,12.8,28,1866.19,2025-08-29,2026-08-29,-13.0,True,42.0,4,2025-10-08,365,49.0,940.14,188932.61,Critical,0.3684210526315789,70222.74,Medium,56.2294778016352,True,False,0,0,False,False,False,False,True,True,False,False,-0.5108797247068667,-0.22889720170269195,-0.9182614117065863,-1.8310572887830399,-0.27522372078301977,-0.9347739175839889,0.4811273552082075,-0.10297053594936804
PRD1014,WOW Body Spray,Body Spray,WOW,SUP6139,Elite Cosmetics Distributor,12.0,223.0,97,230,275.51,655.55,True,13.92,28,722.3,2024-07-28,2027-07-28,-1.0,True,66.0,8,2025-07-21,1095,446.0,380.04,146187.65,Critical,0.29464285714285715,43266.299999999996,Old,57.972694683853256,True,False,0,2,False,True,False,False,False,True,False,False,-1.326793826869045,-1.1166167648598846,-0.15168329541019412,-1.7958198053007275,0.5570514733394096,1.4332866157316195,0.5541397138913406,-0.12665807406115867
PRD1015,Biotique Body Spray,Body Spray,Biotique,SUP4143,Cosmetic Wholesale Co,10.0,215.0,68,273,1508.86,2276.62,False,0.0,18,2686.41,2025-10-17,2028-10-16,-10.0,True,36.0,3,2025-08-22,1095,0.0,767.76,489473.3,Critical,0.16666666666666666,81958.31999999999,New,33.72367808417742,True,False,0,1,False,True,False,False,False,True,False,False,0.8784736562606058,0.2991912202714885,-0.2074344311408408,-1.8222479179124618,-0.48329251931362716,-1.227053429252666,-0.4614986244868644,-0.16774664866271485
PRD1016,Mamaearth Cleanser,Cleanser,Mamaearth,SUP4680,Premium Beauty Distributors,5.0,239.0,45,137,97.63,155.6,False,0.0,28,199.17,2025-09-10,2027-09-10,-15.0,True,53.0,10,2025-08-04,730,37.0,57.97,64107.2,Critical,0.22083333333333333,8246.8,Medium,37.25578406169666,True,False,0,0,False,False,False,False,True,True,False,False,-1.6448487017213596,-1.5532624384991662,-0.04018102394890071,-1.8369302026967587,0.1062357431897604,-1.0063525735028485,-0.3135609862227494,-0.15035567057554458
PRD1017,Sugar Cleanser,Cleanser,Sugar,SUP2988,Elite Cosmetics Distributor,12.0,233.0,37,218,1351.78,3359.81,False,0.0,18,3964.58,2024-12-08,2026-12-08,-27.0,True,92.0,8,2025-08-23,730,313.0,2008.03,782835.73,Critical,0.39316239316239315,309102.52,Old,59.76617725407092,True,False,0,2,False,False,False,False,True,True,False,False,0.5976098169205925,1.2452262782359516,-0.08199437574688574,-1.8721676861790713,1.4586829336387082,0.6399565126309246,0.6292573851601413,-0.09502697697671682
PRD1018,Neutrogena Conditioner,Conditioner,Neutrogena,SUP6238,Premium Beauty Distributors,5.0,457.0,89,120,319.83,504.54,True,29.72,12,397.14,2024-08-19,2027-08-19,-14.0,True,42.0,8,2025-08-18,1095,424.0,184.71,230574.78,Critical,0.09170305676855896,21190.68,Old,36.60958496848615,True,False,0,2,False,False,True,False,False,True,False,False,-1.2475483127389877,-1.248505680103945,1.479037424711222,-1.8339937457398994,-0.27522372078301977,1.3020590798803768,-0.34062618990192023,-0.19181478091637344
PRD1019,Himalaya Deodorant,Deodorant,Himalaya,SUP5471,Cosmetic Wholesale Co,10.0,223.0,82,107,808.27,1699.51,False,0.0,28,2175.37,2025-05-01,2028-04-30,-27.0,True,59.0,2,2025-07-29,1095,169.0,891.24,378990.73,Critical,0.26339285714285715,100271.09,Old,52.44099769933687,True,False,0,2,False,True,False,False,False,True,False,False,-0.3742026691991598,-0.20484435271374146,-0.15168329541019412,-1.8721676861790713,0.31430454172036776,-0.21898735839539182,0.3224518221093269,-0.13669133064991076
PRD1020,Colorbar Hair Gel,Hair Gel,Colorbar,SUP5133,Global Cosmetics Supply,14.0,427.0,30,220,87.8,170.97,False,0.0,12,191.49,2024-11-19,2026-11-19,-3.0,True,99.0,10,2025-10-11,730,332.0,83.17,73004.19,Critical,0.23130841121495327,16926.03,Old,48.64596127975668,True,False,0,2,False,False,True,False,False,True,False,False,-1.6624250420620288,-1.5398386081084556,1.2699706657212968,-1.801692719214446,1.7014298652577502,0.7532893845024524,0.1635016862378904,-0.146992497961994
PRD1021,Neutrogena Moisturizer,Moisturizer,Neutrogena,SUP1420,Beauty Supplies India,7.0,475.0,59,247,1370.83,3358.27,False,0.0,28,4298.59,2025-07-08,2027-07-08,-3.0,True,75.0,10,2025-09-15,730,101.0,1987.44,1595178.25,Critical,0.15756302521008403,251870.25,Old,59.180470897217916,True,False,0,2,False,False,False,False,True,True,False,False,0.6316717989643106,1.243881275060825,1.604477480105177,-1.801692719214446,0.8691546711353207,-0.6245997419355968,0.604725840608364,-0.17066950212274348
PRD1022,Nivea Perfume,Perfume,Nivea,SUP8532,Premium Beauty Distributors,5.0,362.0,39,211,393.47,757.86,False,0.0,28,970.06,2023-07-13,2028-07-11,-30.0,True,68.0,7,2025-08-18,1825,827.0,364.39,274345.32,Critical,0.18732782369146006,51534.48,Old,48.08143984377061,True,False,0,2,False,True,False,False,False,True,False,False,-1.1158777427810134,-1.0272613915824873,0.8169926879097923,-1.8809770570496493,0.6264077395162788,3.7059089411554154,0.1398574443830913,-0.16111309058750686
PRD1023,Olay Primer,Primer,Olay,SUP5232,Premium Beauty Distributors,5.0,174.0,55,252,1417.31,2312.37,True,23.08,12,1992.12,2025-09-04,2027-09-04,-8.0,True,92.0,6,2025-08-15,730,43.0,895.06,402352.38,Critical,0.5257142857142857,212738.03999999998,Medium,38.707473284984665,True,False,0,0,False,False,False,True,False,True,False,False,0.7147794590898762,0.33041450826549645,-0.49315900176040517,-1.816375003998743,1.4586829336387082,-0.9705632455434187,-0.2527588821654043,-0.05246930819918611
PRD1024,Garnier Body Scrub,Body Scrub,Garnier,SUP8434,Metro Beauty Supplies,6.0,138.0,59,164,499.55,1081.8,False,0.0,12,1211.62,2025-06-02,2026-06-02,-25.0,True,88.0,2,2025-09-22,365,137.0,582.25,149288.4,Critical,0.6330935251798561,95198.4,Old,53.82233314845628,True,False,0,2,True,False,False,False,False,True,False,False,-0.9262034616682772,-0.7443391003159429,-0.7440391125483153,-1.8662947722653525,1.31997040128497,-0.4098637741790177,0.3803072503705004,-0.017993677419566197
PRD1025,WOW Toner,Toner,WOW,SUP9042,Cosmetic Wholesale Co,10.0,52.0,21,246,604.46,1133.03,False,0.0,12,1268.99,2025-09-21,2027-09-21,-9.0,True,61.0,1,2025-10-08,730,26.0,528.57,58917.56,Critical,1.150943396226415,69114.83,New,46.65101541883268,True,False,0,1,False,False,False,False,True,True,False,False,-0.7386211763031075,-0.699595910275858,-1.3433638216527675,-1.8193114609556025,0.3836608078972369,-1.07196634142847,0.07994598858661245,0.14826938276162763
PRD1026,Himalaya Hand Cream,Hand Cream,Himalaya,SUP5871,India Beauty Hub,14.0,440.0,95,209,645.49,1320.18,True,38.17,12,914.22,2024-12-01,2026-12-01,-7.0,True,33.0,10,2025-10-06,730,320.0,674.69,580879.2,Critical,0.07482993197278912,43565.94,Old,51.105909800178765,True,False,0,2,True,False,False,False,False,True,False,False,-0.6652582826939865,-0.5361430893505824,1.3605662612835976,-1.8134385470418837,-0.5873269185789308,0.6817107285835927,0.26653341197850483,-0.19723213741333323
PRD1027,Faces Canada Body Oil,Body Oil,Faces Canada,SUP7965,Cosmetic Wholesale Co,10.0,58.0,89,157,1312.89,3137.93,True,7.5,12,3250.9,2025-05-13,2027-05-13,-20.0,True,95.0,9,2025-09-10,730,157.0,1825.04,181999.94,Critical,1.6101694915254237,298103.35,Old,58.16063455845095,True,True,0,2,True,False,False,False,False,False,True,False,0.5280733086959103,1.0514410155755178,-1.3015504698547824,-1.8516124874810556,1.5627173329040118,-0.29056601431425155,0.5620113296810698,0.2957104466459691
PRD1028,Lakme Foot Cream,Foot Cream,Lakme,SUP5415,Elite Cosmetics Distributor,12.0,295.0,25,295,1524.72,2842.99,False,0.0,18,3354.73,2025-07-17,2027-07-17,-19.0,True,55.0,10,2025-08-15,730,92.0,1318.27,838682.05,Critical,0.1858108108108108,156364.44999999998,Old,46.3691395326751,True,False,0,2,True,False,False,False,False,True,False,False,0.9068318208387357,0.7938467061782387,0.3500769261656262,-1.8486760305241963,0.17559200936662953,-0.6782837338747416,0.06813998583721458,-0.16160014913086676
PRD1029,Maybelline Hair Oil,Hair Oil,Maybelline,SUP7622,Elite Cosmetics Distributor,12.0,442.0,85,100,1332.44,2599.74,False,0.0,12,2911.71,2025-07-13,2027-07-13,-17.0,True,46.0,9,2025-08-14,730,96.0,1267.3,1149085.08,Critical,0.1038374717832957,119588.04,Old,48.74718241054874,True,False,0,2,False,False,True,False,False,True,False,False,0.5630293060163664,0.5813973410162121,1.3745040452162594,-1.8428031166104775,-0.13651118842928153,-0.6544241819017883,0.1677412008864053,-0.18791885453566112
PRD1030,Maybelline Hand Cream,Hand Cream,Maybelline,SUP2858,Cosmetic Wholesale Co,10.0,236.0,35,265,1672.68,3174.83,False,0.0,28,4063.78,2024-10-21,2026-10-21,-9.0,True,53.0,7,2025-08-17,730,361.0,1502.15,749259.88,Critical,0.22362869198312235,168265.99,Old,47.314344390093325,True,False,0,2,True,False,False,False,False,True,False,False,1.171388821531048,1.0836686890574452,-0.06108769984789322,-1.8193114609556025,0.1062357431897604,0.9262711363063634,0.10772865479907624,-0.1494581809566351
PRD1031,Neutrogena Hair Spray,Hair Spray,Neutrogena,SUP9022,Elite Cosmetics Distributor,12.0,443.0,39,214,1100.23,1885.96,False,0.0,18,2225.43,2024-11-22,2027-11-22,-28.0,True,24.0,3,2025-08-04,1095,329.0,785.73,835480.28,Critical,0.05405405405405406,45263.04,Old,41.662071305860145,True,False,0,2,False,False,True,False,False,True,False,False,0.14783073119369944,-0.04200289686806879,1.3814729371825902,-1.8751041431359305,-0.8994301163748418,0.7353947205227375,-0.12900940918522494,-0.20390252826182148
PRD1032,Colorbar Body Scrub,Body Scrub,Colorbar,SUP8213,Beauty Supplies India,7.0,51.0,87,216,79.93,117.74,True,7.62,18,128.35,2025-07-23,2026-07-23,-20.0,True,88.0,6,2025-07-25,365,86.0,37.81,6004.74,Critical,1.6923076923076923,10361.119999999999,Medium,32.11313062680482,True,True,0,0,True,False,False,False,False,False,True,False,-1.676496842517885,-1.5863285555188344,-1.3503327136190981,-1.8516124874810556,1.31997040128497,-0.7140730618341714,-0.5289542978648529,0.3220820832599512
PRD1033,Nivea Lipstick,Lipstick,Nivea,SUP2646,Beauty Supplies India,7.0,227.0,41,277,633.96,846.17,False,0.0,12,947.71,2025-05-20,2027-05-20,-12.0,True,47.0,6,2025-09-28,730,150.0,212.21,192080.59,Critical,0.20614035087719298,39769.99,Old,25.07888485765271,True,False,0,2,False,False,False,True,False,True,False,False,-0.685874274975565,-0.9501333198971489,-0.12380772754487077,-1.8281208318261806,-0.10183305534084697,-0.3323202302669197,-0.8235744798981759,-0.15507306139271224
PRD1034,Sugar Sunscreen,Sunscreen,Sugar,SUP9955,Premium Beauty Distributors,5.0,80.0,29,213,1893.21,4704.97,False,0.0,28,6022.36,2025-03-14,2027-03-14,-23.0,True,32.0,7,2025-09-08,730,217.0,2811.76,376397.6,Critical,0.3950617283950617,150559.04,Old,59.7614862581483,True,False,0,2,False,False,False,False,True,True,False,False,1.5657031994891148,2.420060350348395,-1.148234846595504,-1.8604218583516337,-0.6220050516673654,0.06732726528004697,0.629060908932555,-0.09441716840911936
PRD1035,Colorbar Sunscreen,Sunscreen,Colorbar,SUP4770,Premium Beauty Distributors,5.0,310.0,65,156,1291.4,2641.0,True,26.99,28,2468.09,2024-11-21,2026-11-21,-2.0,True,39.0,7,2025-10-12,730,330.0,1349.6,818710.0,Critical,0.12540192926045016,102999.0,Old,51.101855357819005,True,False,0,2,False,False,False,False,True,True,False,False,0.48964853210171055,0.6174329455653808,0.4546103056605888,-1.7987562622575868,-0.37925812004832343,0.7413596085159758,0.2663635969641767,-0.18099527901356435
PRD1036,WOW Body Spray,Body Spray,WOW,SUP6549,Elite Cosmetics Distributor,12.0,411.0,34,219,1927.64,2831.53,True,35.1,28,2352.21,2024-09-06,2027-09-06,-28.0,True,71.0,5,2025-10-05,1095,406.0,903.89,1163758.83,Critical,0.17233009708737865,201038.63,Old,31.922317616271062,True,False,0,2,False,True,False,False,False,True,False,False,1.6272650914452944,0.7838377864464536,1.1584683942600034,-1.8751041431359305,0.7304421387815825,1.1946910960020871,-0.5369462511947062,-0.16592832384404133
PRD1037,Sugar Body Scrub,Body Scrub,Sugar,SUP4626,India Beauty Hub,8.0,331.0,28,262,1656.52,3961.18,False,0.0,28,5070.31,2025-07-05,2026-07-05,-4.0,True,17.0,0,2025-10-12,365,104.0,2304.66,1311150.58,Critical,0.05120481927710843,67340.06,Old,58.18114804174513,True,False,0,2,True,False,False,False,False,True,False,False,1.1424942477868751,1.7704500181228495,0.6009570369535364,-1.8046291761713056,-1.1421770479938838,-0.6067050779558819,0.5628705100936697,-0.2048173155769796
PRD1038,Plum Sunscreen,Sunscreen,Plum,SUP5583,Global Cosmetics Supply,14.0,16.0,67,155,914.6,2232.23,False,0.0,12,2500.1,2024-10-31,2026-10-31,-12.0,True,69.0,10,2025-09-01,730,351.0,1317.63,35715.68,Critical,4.0588235294117645,154023.87,Old,59.02751956563617,True,True,0,2,False,False,False,False,True,False,True,False,-0.1840813804480544,0.2604219404378098,-1.5942439324406776,-1.8281208318261806,0.6610858726047134,0.8666222563739803,0.5983196741718044,1.0818856229402902
PRD1039,Colorbar Lipstick,Lipstick,Colorbar,SUP4394,Elite Cosmetics Distributor,12.0,300.0,47,159,690.69,1020.19,True,14.7,12,974.65,2025-08-12,2027-08-12,-18.0,True,32.0,2,2025-10-02,730,66.0,329.5,306057.0,Critical,0.10631229235880399,32646.08,Medium,32.297905292151455,True,False,0,0,False,False,False,True,False,True,False,False,-0.5844393016768702,-0.7981479611078542,0.3849213859972804,-1.8457395735673368,-0.6220050516673654,-0.8333708216989376,-0.5212152527239643,-0.18712427822061478
PRD1040,Maybelline Foot Cream,Foot Cream,Maybelline,SUP9254,Global Cosmetics Supply,14.0,113.0,98,111,1468.12,3509.54,False,0.0,18,4141.26,2024-11-22,2026-11-22,-1.0,True,7.0,7,2025-08-26,730,329.0,2041.42,396578.02,Critical,0.06140350877192982,24566.78,Old,58.16773708235268,True,False,0,2,True,False,False,False,False,True,False,False,0.8056292915119927,1.3759972687630235,-0.9182614117065863,-1.7958198053007275,-1.4889583788782295,0.7353947205227375,0.5623088096033665,-0.2015428813827219
PRD1041,Biotique Hair Serum,Hair Serum,Biotique,SUP8048,India Beauty Hub,8.0,50.0,34,267,1319.29,2932.46,True,20.05,12,2625.84,2025-07-04,2026-07-04,-11.0,True,58.0,6,2025-08-24,365,105.0,1613.17,146623.0,Critical,1.1372549019607843,170082.68,Old,55.01081003662455,True,False,0,2,False,False,True,False,False,True,False,False,0.5395167042381566,0.871987897138348,-1.357301605585429,-1.8251843748693213,0.2796264086319332,-0.6007401899626436,0.4300850500985214,0.1438744971526441
PRD1042,Mamaearth Face Mask,Face Mask,Mamaearth,SUP7730,Beauty Supplies India,7.0,181.0,74,284,150.32,247.3,False,0.0,18,291.81,2025-09-21,2026-09-21,-19.0,True,64.0,3,2025-09-27,365,26.0,96.98,44761.3,Critical,0.3516483516483517,15827.2,New,39.21552769915084,True,False,0,1,False,False,False,False,True,True,False,False,-1.550637371858708,-1.4731736130711792,-0.44437675799608933,-1.8486760305241963,0.48769520716254056,-1.07196634142847,-0.2314796876509206,-0.10835564995420431
PRD1043,Lakme Toner,Toner,Lakme,SUP5477,Cosmetic Wholesale Co,10.0,359.0,59,186,734.5,1114.74,True,24.82,18,988.91,2025-09-12,2027-09-12,-5.0,True,94.0,10,2025-10-13,730,35.0,380.24,400191.66,Critical,0.2611111111111111,104785.56,Medium,34.11019609953891,True,False,0,0,False,False,False,False,True,True,False,False,-0.5061056831290859,-0.715570006427198,0.7960860120107999,-1.8075656331281649,1.5280391998155773,-1.0182823494893252,-0.4453098230457275,-0.13742391763893075
PRD1044,Himalaya Toner,Toner,Himalaya,SUP7947,Metro Beauty Supplies,6.0,248.0,97,213,857.66,1336.82,True,17.08,12,1241.51,2025-05-25,2027-05-25,-22.0,True,86.0,9,2025-08-15,730,145.0,479.16,331531.36,Critical,0.3453815261044177,114966.51999999999,Old,35.84326984934397,True,False,0,2,False,False,False,False,True,True,False,False,-0.28589184016297914,-0.5216100680297351,0.022539003748076828,-1.8574854013947744,1.2506141351081008,-0.36214467023311125,-0.37272229619474484,-0.11036770335193985
PRD1045,Biotique Concealer,Concealer,Biotique,SUP4770,Metro Beauty Supplies,6.0,256.0,91,271,1622.09,2249.01,True,20.27,18,2115.9,2025-09-08,2027-09-08,-28.0,True,40.0,9,2025-08-23,730,39.0,626.92,575746.56,Critical,0.1556420233463035,89960.40000000001,Medium,27.87537627667286,True,False,0,0,False,False,False,True,False,True,False,False,1.0809323558306958,0.2750772347745779,0.07829013947872353,-1.8751041431359305,-0.3445799869598889,-0.9944227975163719,-0.7064470951059818,-0.17128626707016045
PRD1046,Biotique Hand Cream,Hand Cream,Biotique,SUP7484,Beauty Supplies India,7.0,445.0,59,290,712.05,1210.26,True,7.67,28,1430.31,2025-08-20,2027-08-20,-17.0,True,65.0,3,2025-09-02,730,58.0,498.21,538565.7,Critical,0.14573991031390135,78666.9,Medium,41.16553467849884,True,False,0,0,True,False,False,False,False,True,False,False,-0.5462469690546226,-0.6321448744219492,1.395410721115252,-1.8428031166104775,0.5223733402509751,-0.881089925644844,-0.14980619626664,-0.1744654811765578
PRD1047,Himalaya Foot Cream,Foot Cream,Himalaya,SUP6295,Metro Beauty Supplies,6.0,442.0,100,180,344.37,475.9,False,0.0,28,609.15,2025-05-15,2027-05-15,-26.0,True,35.0,9,2025-10-09,730,155.0,131.53,210347.8,Critical,0.07900677200902935,16656.5,Old,27.638159277159062,True,False,0,2,True,False,False,False,False,True,False,False,-1.203670042956686,-1.2735192456465574,1.3745040452162594,-1.869231229222212,-0.5179706524020616,-0.30249579030072815,-0.716382618809837,-0.19589110356329256
PRD1048,Sugar Sunscreen,Sunscreen,Sugar,SUP4084,Elite Cosmetics Distributor,12.0,164.0,97,221,1027.67,2517.04,False,0.0,12,2819.08,2025-04-25,2027-04-25,-23.0,True,10.0,8,2025-07-26,730,175.0,1489.37,412794.56,Critical,0.06060606060606061,25170.4,Old,59.17148714362902,True,False,0,2,False,False,False,False,True,True,False,False,0.01809123423347943,0.5091689237545489,-0.5628479214237135,-1.8604218583516337,-1.3849239796129258,-0.18319803043596197,0.6043495678415935,-0.20179891344878256
